id,sex,age_adjusted,age_cat,,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,,,
2152,Female,39,25 - 45,,African-American,0,2,0,0,2,,,25 - 45
2153,Male,20,Less than 25,,African-American,0,8,0,0,3,,,Less than 25
2156,Male,41,Greater than 45,,Caucasian,0,5,0,0,1,,,Greater than 45
2157,Female,19,Less than 25,,African-American,0,3,0,0,1,,,Less than 25
2161,Male,26,25 - 45,,Caucasian,0,3,0,0,0,,,25 - 45
2163,Male,31,25 - 45,,Caucasian,0,2,0,1,0,,,25 - 45
2165,Male,50,Greater than 45,,African-American,0,1,0,0,0,,,Greater than 45
2166,Female,27,25 - 45,,African-American,0,8,0,0,8,,,25 - 45
2168,Male,32,25 - 45,,Hispanic,0,3,0,0,0,,,25 - 45
2169,Male,25,25 - 45,,Caucasian,0,4,0,0,1,,,25 - 45
2171,Male,19,Less than 25,,African-American,0,7,0,0,1,,,Less than 25
2178,Male,25,25 - 45,,African-American,0,4,0,0,3,,,25 - 45
2179,Male,52,Greater than 45,,African-American,0,1,0,0,9,,,Greater than 45
2180,Male,36,25 - 45,,Other,0,2,0,0,1,,,25 - 45
2181,Male,27,25 - 45,,African-American,2,9,0,0,20,,,25 - 45
2182,Female,23,25 - 45,,African-American,0,6,0,0,1,,,25 - 45
2183,Male,39,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
2184,Male,21,Less than 25,,Caucasian,1,5,0,1,5,,,Less than 25
2186,Male,40,25 - 45,,Caucasian,0,2,0,0,1,,,25 - 45
2188,Male,19,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2193,Female,25,25 - 45,,Caucasian,0,3,0,0,6,,,25 - 45
2195,Male,23,25 - 45,,African-American,0,6,0,0,8,,,25 - 45
2196,Male,47,Greater than 45,,African-American,0,2,0,0,4,,,Greater than 45
2198,Male,50,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
2206,Male,27,25 - 45,,African-American,0,7,0,0,2,,,25 - 45
2208,Male,29,25 - 45,,African-American,0,7,0,0,2,,,25 - 45
2209,Male,26,25 - 45,,Hispanic,0,3,0,1,3,,,25 - 45
2211,Male,22,Less than 25,,African-American,0,7,0,0,5,,,Less than 25
2216,Male,41,25 - 45,,African-American,0,2,0,0,2,,,25 - 45
2217,Male,29,25 - 45,,Caucasian,0,4,0,0,3,,,25 - 45
2218,Female,24,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
2220,Male,49,Greater than 45,,African-American,0,4,0,0,15,,,Greater than 45
2221,Male,59,Greater than 45,,Caucasian,0,2,0,0,3,,,Greater than 45
2222,Male,66,Greater than 45,,African-American,0,1,0,0,3,,,Greater than 45
2223,Male,48,Greater than 45,,Other,0,1,0,0,2,,,Greater than 45
2224,Female,18,Less than 25,,Caucasian,0,6,0,0,1,,,Less than 25
2226,Male,27,25 - 45,,Caucasian,1,6,0,0,2,,,25 - 45
2228,Male,18,Less than 25,,African-American,0,4,2,0,3,,,Less than 25
2231,Male,21,Less than 25,,African-American,0,9,5,0,12,,,Less than 25
2233,Male,21,Less than 25,,Caucasian,0,8,0,0,3,,,Less than 25
2234,Male,54,Greater than 45,,Hispanic,0,1,0,0,3,,,Greater than 45
2235,Male,27,25 - 45,,Caucasian,0,7,0,0,6,,,25 - 45
2236,Male,41,25 - 45,,African-American,0,1,0,0,4,,,25 - 45
2237,Male,21,Less than 25,,African-American,0,7,0,1,4,,,Less than 25
2240,Male,23,25 - 45,,African-American,0,9,0,0,5,,,25 - 45
2245,Female,52,Greater than 45,,Caucasian,0,8,0,0,1,,,Greater than 45
2246,Male,18,Less than 25,,African-American,0,8,0,0,1,,,Less than 25
2247,Male,28,25 - 45,,African-American,3,10,0,0,6,,,25 - 45
2248,Female,20,Less than 25,,African-American,0,9,0,0,1,,,Less than 25
2250,Male,27,25 - 45,,African-American,1,10,0,2,15,,,25 - 45
2252,Male,39,25 - 45,,Other,0,1,0,0,1,,,25 - 45
2256,Male,61,Greater than 45,,Caucasian,0,3,0,0,0,,,Greater than 45
2258,Female,19,Less than 25,,Caucasian,0,6,0,0,0,,,Less than 25
2259,Male,33,25 - 45,,African-American,0,3,0,0,5,,,25 - 45
2261,Female,47,Greater than 45,,African-American,0,1,0,0,1,,,Greater than 45
2262,Male,21,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2263,Male,25,25 - 45,,Native American,0,3,0,0,2,,,25 - 45
2268,Female,22,25 - 45,,Caucasian,0,7,0,0,5,,,25 - 45
2274,Male,52,Greater than 45,,Caucasian,0,4,0,0,14,,,Greater than 45
2276,Male,34,25 - 45,,Other,0,1,0,0,6,,,25 - 45
2277,Male,23,25 - 45,,Caucasian,0,9,0,1,5,,,25 - 45
2278,Male,60,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2281,Male,23,25 - 45,,Hispanic,0,1,0,0,0,,,25 - 45
2283,Male,22,25 - 45,,African-American,0,10,0,0,8,,,25 - 45
2286,Male,23,25 - 45,,Hispanic,0,4,0,0,2,,,25 - 45
2287,Male,34,25 - 45,,African-American,1,9,0,1,12,,,25 - 45
2289,Female,18,Less than 25,,Caucasian,0,10,2,1,3,,,Less than 25
2290,Male,30,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
2291,Male,69,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
2292,Male,35,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
2294,Male,21,Less than 25,,Caucasian,0,3,0,0,0,,,Less than 25
2297,Male,19,Less than 25,,Caucasian,0,8,0,0,5,,,Less than 25
2299,Male,24,25 - 45,,Caucasian,0,7,0,0,4,,,25 - 45
2300,Male,53,Greater than 45,,Caucasian,0,6,0,0,13,,,Greater than 45
2303,Female,38,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
2307,Male,52,Greater than 45,,Caucasian,0,7,0,0,11,,,Greater than 45
2309,Female,20,Less than 25,,Hispanic,0,6,0,0,0,,,Less than 25
2310,Male,26,25 - 45,,African-American,0,2,0,0,3,,,25 - 45
2316,Male,50,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2317,Male,26,25 - 45,,African-American,0,5,0,0,6,,,25 - 45
2318,Male,20,Less than 25,,Caucasian,0,5,0,0,0,,,Less than 25
2321,Male,30,25 - 45,,African-American,0,6,0,0,7,,,25 - 45
2322,Male,31,25 - 45,,African-American,0,7,0,0,15,,,25 - 45
2324,Male,20,Less than 25,,Hispanic,0,3,0,0,0,,,Less than 25
2326,Male,29,25 - 45,,African-American,0,8,0,0,12,,,25 - 45
2329,Male,23,25 - 45,,African-American,0,10,4,4,14,,,25 - 45
2332,Male,53,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2334,Male,33,25 - 45,,Hispanic,0,4,0,0,1,,,25 - 45
2335,Male,25,25 - 45,,African-American,0,6,0,0,4,,,25 - 45
2336,Male,18,Less than 25,,African-American,2,9,0,0,2,,,Less than 25
2338,Male,56,Greater than 45,,Hispanic,0,1,0,0,0,,,Greater than 45
2343,Male,70,Greater than 45,,Caucasian,0,1,0,0,3,,,Greater than 45
2344,Female,21,Less than 25,,African-American,0,7,0,0,2,,,Less than 25
2349,Male,42,Greater than 45,,African-American,0,9,0,0,3,,,Greater than 45
2350,Male,28,25 - 45,,African-American,0,10,0,0,7,,,25 - 45
2352,Male,42,Greater than 45,,African-American,0,1,0,0,0,,,Greater than 45
2353,Male,45,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2354,Male,21,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2355,Male,18,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2356,Male,49,Greater than 45,,Caucasian,0,1,0,0,6,,,Greater than 45
2361,Female,46,Greater than 45,,Caucasian,0,2,0,0,2,,,Greater than 45
2363,Male,38,25 - 45,,Caucasian,0,1,0,0,5,,,25 - 45
2365,Male,47,Greater than 45,,Caucasian,0,3,0,0,1,,,Greater than 45
2366,Male,23,25 - 45,,Hispanic,0,1,0,0,0,,,25 - 45
2370,Female,26,25 - 45,,African-American,0,3,0,0,0,,,25 - 45
2371,Male,30,25 - 45,,Caucasian,0,2,0,0,2,,,25 - 45
2372,Male,44,Greater than 45,,African-American,0,7,0,0,0,,,Greater than 45
2374,Male,18,Less than 25,,African-American,0,4,0,0,0,,,Less than 25
2381,Male,45,Greater than 45,,Hispanic,0,1,0,0,1,,,Greater than 45
2383,Male,25,25 - 45,,Other,0,1,0,0,0,,,25 - 45
2386,Male,25,25 - 45,,African-American,0,4,0,0,0,,,25 - 45
2387,Male,18,Less than 25,,Caucasian,0,8,0,0,0,,,Less than 25
2388,Male,23,25 - 45,,Other,0,7,0,0,0,,,25 - 45
2390,Male,29,25 - 45,,African-American,2,8,0,0,15,,,25 - 45
2392,Male,35,25 - 45,,African-American,0,4,0,1,10,,,25 - 45
2393,Male,20,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2394,Male,39,25 - 45,,Caucasian,0,5,0,0,2,,,25 - 45
2396,Female,54,Greater than 45,,Caucasian,0,4,0,0,0,,,Greater than 45
2398,Female,53,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
2399,Male,30,25 - 45,,Hispanic,0,5,0,0,2,,,25 - 45
2400,Male,27,25 - 45,,African-American,0,8,2,2,11,,,25 - 45
2401,Male,27,25 - 45,,African-American,0,1,0,0,2,,,25 - 45
2402,Male,43,Greater than 45,,African-American,0,7,0,1,15,,,Greater than 45
2405,Female,21,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2408,Female,42,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
2410,Female,31,25 - 45,,Hispanic,0,4,0,0,2,,,25 - 45
2411,Female,36,25 - 45,,African-American,0,5,1,0,6,,,25 - 45
2412,Male,22,25 - 45,,Caucasian,0,4,1,0,6,,,25 - 45
2415,Male,45,Greater than 45,,Hispanic,0,1,0,0,1,,,Greater than 45
2418,Male,43,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2420,Male,25,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
2422,Male,24,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
2425,Male,41,25 - 45,,Caucasian,0,7,0,0,11,,,25 - 45
2427,Male,27,25 - 45,,African-American,0,10,0,0,9,,,25 - 45
2429,Male,26,25 - 45,,Caucasian,0,3,0,0,1,,,25 - 45
2430,Male,52,Greater than 45,,African-American,0,1,0,0,8,,,Greater than 45
2431,Female,18,Less than 25,,Caucasian,0,4,0,0,0,,,Less than 25
2432,Male,27,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
2438,Male,64,Greater than 45,,Asian,0,1,0,0,0,,,Greater than 45
2441,Male,22,25 - 45,,Other,0,2,0,0,0,,,25 - 45
2442,Male,21,Less than 25,,African-American,0,9,2,1,8,,,Less than 25
2443,Male,26,25 - 45,,Other,0,6,0,0,3,,,25 - 45
2444,Male,42,Greater than 45,,African-American,0,6,0,0,2,,,Greater than 45
2446,Male,21,Less than 25,,Caucasian,0,3,0,0,0,,,Less than 25
2448,Male,18,Less than 25,,African-American,0,8,0,0,0,,,Less than 25
2451,Male,58,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2456,Male,40,25 - 45,,Caucasian,0,6,0,0,9,,,25 - 45
2457,Male,30,25 - 45,,Other,0,1,0,0,0,,,25 - 45
2459,Male,34,25 - 45,,African-American,0,5,0,0,0,,,25 - 45
2460,Male,55,Greater than 45,,Caucasian,0,4,0,0,3,,,Greater than 45
2464,Male,54,Greater than 45,,African-American,0,9,0,0,12,,,Greater than 45
2465,Male,34,25 - 45,,African-American,0,7,0,0,2,,,25 - 45
2467,Male,42,25 - 45,,African-American,0,6,0,0,6,,,25 - 45
2474,Male,42,Greater than 45,,African-American,0,7,0,0,8,,,Greater than 45
2477,Male,32,25 - 45,,Caucasian,1,6,0,0,9,,,25 - 45
2478,Male,22,25 - 45,,African-American,0,3,0,0,0,,,25 - 45
2479,Male,28,25 - 45,,African-American,0,7,0,0,8,,,25 - 45
2482,Male,28,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
2487,Male,29,25 - 45,,African-American,0,5,0,0,1,,,25 - 45
2488,Female,43,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2489,Male,19,Less than 25,,Hispanic,0,6,0,0,0,,,Less than 25
2490,Male,35,25 - 45,,African-American,0,5,0,0,8,,,25 - 45
2494,Female,20,Less than 25,,African-American,0,7,0,0,2,,,Less than 25
2495,Male,18,Less than 25,,Caucasian,0,5,0,0,0,,,Less than 25
2497,Male,50,Greater than 45,,Other,0,1,0,0,2,,,Greater than 45
2498,Male,47,Greater than 45,,Caucasian,0,2,0,0,2,,,Greater than 45
2499,Male,52,Greater than 45,,Caucasian,0,7,0,0,3,,,Greater than 45
2501,Male,19,Less than 25,,African-American,0,2,0,0,0,,,Less than 25
2502,Male,42,Greater than 45,,Hispanic,0,1,0,0,0,,,Greater than 45
2507,Male,25,25 - 45,,African-American,0,6,0,0,5,,,25 - 45
2509,Male,18,Less than 25,,African-American,0,5,0,0,1,,,Less than 25
2511,Male,34,25 - 45,,Hispanic,0,3,0,1,2,,,25 - 45
2512,Male,27,25 - 45,,African-American,0,7,2,0,21,,,25 - 45
2513,Male,19,Less than 25,,African-American,0,10,0,1,13,,,Less than 25
2515,Male,26,25 - 45,,African-American,2,10,1,0,11,,,25 - 45
2516,Male,20,Less than 25,,African-American,0,3,0,0,1,,,Less than 25
2519,Male,31,25 - 45,,African-American,1,7,3,0,24,,,25 - 45
2523,Male,55,Greater than 45,,African-American,0,3,0,0,19,,,Greater than 45
2524,Male,18,Less than 25,,Other,0,6,0,0,0,,,Less than 25
2525,Male,25,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
2526,Male,48,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2529,Male,23,25 - 45,,African-American,0,2,0,0,0,,,25 - 45
2530,Male,18,Less than 25,,African-American,0,6,0,3,0,,,Less than 25
2532,Male,23,25 - 45,,African-American,0,7,1,0,6,,,25 - 45
2533,Male,18,Less than 25,,Caucasian,0,6,0,0,0,,,Less than 25
2534,Male,46,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
2536,Male,54,Greater than 45,,African-American,0,10,0,0,27,,,Greater than 45
2537,Female,24,25 - 45,,African-American,0,2,0,0,0,,,25 - 45
2538,Male,62,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
2540,Male,18,Less than 25,,Caucasian,0,3,0,0,0,,,Less than 25
2541,Male,42,Greater than 45,,Caucasian,0,2,0,0,1,,,Greater than 45
2544,Male,42,25 - 45,,Caucasian,0,9,0,0,13,,,25 - 45
2546,Male,61,Greater than 45,,African-American,0,4,0,0,0,,,Greater than 45
2548,Male,27,25 - 45,,African-American,0,6,0,0,1,,,25 - 45
2554,Female,47,Greater than 45,,Caucasian,0,2,0,0,8,,,Greater than 45
2556,Male,20,Less than 25,,African-American,0,7,0,0,0,,,Less than 25
2560,Male,18,Less than 25,,Caucasian,0,9,0,0,0,,,Less than 25
2561,Female,28,25 - 45,,Caucasian,0,10,0,0,2,,,25 - 45
2562,Male,24,25 - 45,,Hispanic,0,4,0,1,7,,,25 - 45
2564,Male,31,25 - 45,,Other,0,1,0,0,3,,,25 - 45
2566,Male,23,25 - 45,,African-American,0,9,0,1,2,,,25 - 45
2567,Male,35,25 - 45,,Caucasian,0,6,0,0,1,,,25 - 45
2568,Male,45,Greater than 45,,African-American,0,9,0,0,14,,,Greater than 45
2569,Male,24,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
2571,Male,21,Less than 25,,African-American,0,8,1,0,4,,,Less than 25
2572,Female,26,25 - 45,,African-American,0,5,0,0,2,,,25 - 45
2573,Female,41,25 - 45,,Caucasian,0,6,0,0,4,,,25 - 45
2574,Male,20,Less than 25,,Caucasian,0,7,0,1,2,,,Less than 25
2575,Female,31,25 - 45,,Caucasian,0,6,0,0,1,,,25 - 45
2576,Male,18,Less than 25,,Caucasian,0,5,1,0,1,,,Less than 25
2578,Male,61,Greater than 45,,Other,0,4,0,0,23,,,Greater than 45
2579,Female,34,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
2580,Male,55,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
2583,Female,32,25 - 45,,Caucasian,0,3,0,0,4,,,25 - 45
2584,Male,20,Less than 25,,African-American,0,7,0,0,3,,,Less than 25
2588,Male,29,25 - 45,,Hispanic,0,3,0,0,3,,,25 - 45
2589,Female,31,25 - 45,,Hispanic,0,4,0,0,5,,,25 - 45
2591,Male,21,Less than 25,,African-American,0,6,0,0,3,,,Less than 25
2592,Male,25,25 - 45,,Caucasian,0,3,0,0,0,,,25 - 45
2593,Female,23,25 - 45,,African-American,0,5,0,0,3,,,25 - 45
2594,Male,46,Greater than 45,,African-American,0,1,0,0,1,,,Greater than 45
2595,Female,45,Greater than 45,,Hispanic,0,1,0,0,0,,,Greater than 45
2602,Male,44,Greater than 45,,African-American,0,2,0,0,6,,,Greater than 45
2607,Female,50,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2608,Male,24,25 - 45,,African-American,0,3,0,0,0,,,25 - 45
2609,Male,22,25 - 45,,African-American,0,7,0,1,9,,,25 - 45
2610,Male,49,Greater than 45,,African-American,0,2,0,0,1,,,Greater than 45
2611,Female,26,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
2613,Male,44,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2614,Male,26,25 - 45,,Caucasian,0,4,0,0,6,,,25 - 45
2615,Male,55,Greater than 45,,African-American,0,1,0,0,0,,,Greater than 45
2616,Male,19,Less than 25,,Hispanic,0,5,0,0,2,,,Less than 25
2620,Male,22,25 - 45,,African-American,0,9,0,1,7,,,25 - 45
2621,Male,29,25 - 45,,Caucasian,0,7,0,0,1,,,25 - 45
2623,Male,35,25 - 45,,African-American,0,2,0,0,8,,,25 - 45
2624,Male,49,Greater than 45,,African-American,0,2,0,0,0,,,Greater than 45
2630,Male,25,25 - 45,,African-American,0,6,1,0,8,,,25 - 45
2632,Male,54,Greater than 45,,Caucasian,0,1,0,0,4,,,Greater than 45
2633,Male,43,Greater than 45,,African-American,0,9,0,0,15,,,Greater than 45
2637,Male,31,25 - 45,,Caucasian,0,8,0,0,7,,,25 - 45
2638,Male,21,Less than 25,,Caucasian,0,4,0,3,0,,,Less than 25
2639,Male,29,25 - 45,,African-American,0,2,0,0,0,,,25 - 45
2642,Male,17,Less than 25,,Hispanic,1,9,0,0,1,,,Less than 25
2643,Male,29,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
2644,Male,27,25 - 45,,Caucasian,0,3,0,0,1,,,25 - 45
2649,Male,63,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
2650,Female,38,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
2651,Male,56,Greater than 45,,African-American,0,2,0,0,4,,,Greater than 45
2655,Male,19,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2656,Male,55,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
2658,Male,27,25 - 45,,Caucasian,0,3,0,0,2,,,25 - 45
2664,Male,24,25 - 45,,African-American,0,8,0,0,0,,,25 - 45
2667,Male,21,Less than 25,,Caucasian,0,5,0,0,0,,,Less than 25
2671,Male,26,25 - 45,,African-American,0,8,2,1,7,,,25 - 45
2672,Male,27,25 - 45,,African-American,1,9,0,0,5,,,25 - 45
2673,Male,20,Less than 25,,African-American,0,2,1,1,1,,,Less than 25
2678,Male,19,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2679,Female,40,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
2680,Male,26,25 - 45,,African-American,0,8,0,0,0,,,25 - 45
2681,Male,41,25 - 45,,African-American,0,3,0,0,1,,,25 - 45
2682,Male,23,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
2683,Male,44,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2685,Female,18,Less than 25,,African-American,0,5,0,0,0,,,Less than 25
2687,Male,51,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2688,Male,31,25 - 45,,African-American,0,1,0,1,3,,,25 - 45
2689,Female,25,25 - 45,,African-American,0,2,0,0,2,,,25 - 45
2691,Male,51,Greater than 45,,African-American,0,1,0,0,0,,,Greater than 45
2692,Male,34,25 - 45,,Hispanic,0,1,0,0,3,,,25 - 45
2696,Male,32,25 - 45,,African-American,0,4,0,0,2,,,25 - 45
2698,Female,58,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2700,Male,20,Less than 25,,African-American,0,4,0,0,0,,,Less than 25
2708,Male,25,25 - 45,,African-American,0,6,0,1,5,,,25 - 45
2711,Male,30,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
2713,Male,40,25 - 45,,Caucasian,0,2,0,0,4,,,25 - 45
2714,Male,43,Greater than 45,,Hispanic,0,6,0,0,1,,,Greater than 45
2716,Male,30,25 - 45,,Caucasian,0,5,0,0,5,,,25 - 45
2718,Female,32,25 - 45,,African-American,0,3,0,0,0,,,25 - 45
2719,Male,21,Less than 25,,African-American,0,4,0,0,1,,,Less than 25
2720,Male,38,25 - 45,,Hispanic,0,1,0,0,1,,,25 - 45
2721,Male,23,25 - 45,,Other,20,10,0,0,24,,,25 - 45
2723,Male,22,25 - 45,,African-American,0,6,0,0,4,,,25 - 45
2724,Male,67,Greater than 45,,Caucasian,0,2,0,0,6,,,Greater than 45
2731,Male,25,25 - 45,,Hispanic,0,4,0,0,0,,,25 - 45
2732,Male,44,Greater than 45,,African-American,0,7,0,0,23,,,Greater than 45
2735,Male,28,25 - 45,,African-American,0,10,1,0,13,,,25 - 45
2737,Male,24,25 - 45,,African-American,0,8,0,0,9,,,25 - 45
2738,Male,29,25 - 45,,Other,0,1,0,0,0,,,25 - 45
2745,Male,25,25 - 45,,Caucasian,0,7,0,0,0,,,25 - 45
2748,Male,41,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
2749,Male,39,25 - 45,,African-American,0,5,0,0,7,,,25 - 45
2750,Male,37,25 - 45,,African-American,0,7,0,0,5,,,25 - 45
2751,Female,44,Greater than 45,,Hispanic,0,1,0,0,2,,,Greater than 45
2752,Male,53,Greater than 45,,Caucasian,0,5,0,0,0,,,Greater than 45
2753,Male,25,25 - 45,,African-American,0,9,0,0,5,,,25 - 45
2754,Female,29,25 - 45,,Caucasian,0,9,0,0,0,,,25 - 45
2758,Male,22,25 - 45,,African-American,0,2,0,0,0,,,25 - 45
2759,Male,29,25 - 45,,Caucasian,0,7,0,2,6,,,25 - 45
2760,Male,33,25 - 45,,African-American,0,5,0,0,2,,,25 - 45
2762,Male,18,Less than 25,,African-American,0,7,0,0,3,,,Less than 25
2764,Male,36,25 - 45,,Caucasian,0,4,0,0,2,,,25 - 45
2766,Male,25,25 - 45,,African-American,0,8,0,0,8,,,25 - 45
2770,Female,19,Less than 25,,Other,0,4,0,0,0,,,Less than 25
2771,Male,34,25 - 45,,Caucasian,0,1,0,0,3,,,25 - 45
2772,Male,20,Less than 25,,African-American,0,8,0,0,2,,,Less than 25
2773,Female,47,Greater than 45,,African-American,0,7,0,0,14,,,Greater than 45
2775,Male,29,25 - 45,,Caucasian,0,7,0,0,9,,,25 - 45
2776,Male,37,25 - 45,,Caucasian,0,6,0,0,9,,,25 - 45
2777,Male,22,25 - 45,,African-American,0,3,0,0,1,,,25 - 45
2780,Male,56,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2786,Male,25,25 - 45,,African-American,0,4,0,0,1,,,25 - 45
2787,Female,37,25 - 45,,African-American,0,5,0,0,0,,,25 - 45
2788,Male,51,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2792,Male,28,25 - 45,,African-American,0,10,0,0,5,,,25 - 45
2793,Male,27,25 - 45,,African-American,4,10,1,0,11,,,25 - 45
2797,Male,26,25 - 45,,African-American,0,2,0,0,0,,,25 - 45
2800,Male,21,Less than 25,,African-American,0,7,0,0,0,,,Less than 25
2802,Male,41,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
2804,Male,42,25 - 45,,African-American,0,4,0,0,10,,,25 - 45
2807,Male,21,Less than 25,,Hispanic,0,10,0,0,11,,,Less than 25
2809,Male,20,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2814,Male,34,25 - 45,,Caucasian,0,3,0,0,5,,,25 - 45
2817,Male,25,25 - 45,,Caucasian,0,9,0,0,1,,,25 - 45
2820,Male,63,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
2825,Male,20,Less than 25,,Caucasian,0,3,0,0,1,,,Less than 25
2828,Female,21,Less than 25,,African-American,0,7,0,0,0,,,Less than 25
2829,Male,22,25 - 45,,Hispanic,0,3,0,1,1,,,25 - 45
2830,Male,53,Greater than 45,,African-American,0,1,0,0,4,,,Greater than 45
2836,Male,49,Greater than 45,,Asian,0,1,0,0,1,,,Greater than 45
2837,Female,55,Greater than 45,,African-American,0,1,0,0,3,,,Greater than 45
2841,Male,21,Less than 25,,Caucasian,0,5,1,2,3,,,Less than 25
2842,Male,19,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
2843,Male,37,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
2844,Male,18,Less than 25,,Hispanic,0,10,0,0,3,,,Less than 25
2845,Male,44,Greater than 45,,Caucasian,0,7,0,0,10,,,Greater than 45
2846,Male,35,25 - 45,,Caucasian,0,1,0,0,1,,,25 - 45
2848,Male,21,Less than 25,,Caucasian,0,8,0,0,0,,,Less than 25
2851,Male,37,25 - 45,,Other,0,5,0,0,6,,,25 - 45
2852,Male,22,25 - 45,,African-American,0,8,0,0,0,,,25 - 45
2854,Male,29,25 - 45,,African-American,0,9,0,0,19,,,25 - 45
2856,Male,23,25 - 45,,African-American,0,6,0,0,6,,,25 - 45
2857,Male,22,25 - 45,,African-American,0,9,0,1,2,,,25 - 45
2859,Male,34,25 - 45,,Caucasian,0,8,0,0,11,,,25 - 45
2860,Male,33,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
2862,Male,23,25 - 45,,African-American,0,6,0,0,1,,,25 - 45
2863,Male,20,Less than 25,,Other,0,2,2,0,3,,,Less than 25
2864,Male,32,25 - 45,,African-American,0,4,0,0,7,,,25 - 45
2865,Male,19,Less than 25,,African-American,0,4,0,0,2,,,Less than 25
2867,Male,22,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
2869,Male,34,25 - 45,,Hispanic,0,1,0,0,0,,,25 - 45
2870,Male,21,Less than 25,,African-American,0,7,0,0,2,,,Less than 25
2873,Male,30,25 - 45,,Caucasian,2,9,0,1,15,,,25 - 45
2874,Male,30,25 - 45,,African-American,0,2,0,0,2,,,25 - 45
2875,Male,31,25 - 45,,African-American,0,9,0,0,10,,,25 - 45
2883,Male,32,25 - 45,,African-American,0,8,0,0,14,,,25 - 45
2885,Male,35,25 - 45,,African-American,0,8,1,0,13,,,25 - 45
2886,Male,25,25 - 45,,African-American,0,7,0,0,9,,,25 - 45
2887,Male,24,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
2891,Male,18,Less than 25,,Hispanic,0,5,0,0,1,,,Less than 25
2898,Female,28,25 - 45,,Caucasian,0,3,0,0,0,,,25 - 45
2900,Male,21,Less than 25,,African-American,0,7,0,0,3,,,Less than 25
2901,Male,23,25 - 45,,African-American,0,9,0,0,6,,,25 - 45
2902,Male,41,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
2907,Male,20,Less than 25,,African-American,0,6,0,0,3,,,Less than 25
